2025-08-14 01:54:43 | INFO | Proposaland monitoring system started
2025-08-14 01:54:43 | INFO | Initializing scrapers for all target websites
2025-08-14 01:54:43 | INFO | Initialized scraper for Devex
2025-08-14 01:54:43 | INFO | Initialized scraper for UNDP Procurement
2025-08-14 01:54:43 | INFO | Initialized scraper for UN Global Marketplace
2025-08-14 01:54:43 | INFO | Initialized scraper for Global Fund
2025-08-14 01:54:43 | INFO | Initialized scraper for Development Aid
2025-08-14 01:54:43 | INFO | Initialized scraper for ReliefWeb
2025-08-14 01:54:43 | INFO | Initialized scraper for Save the Children
2025-08-14 01:54:43 | INFO | Initialized scraper for Mercy Corps
2025-08-14 01:54:43 | INFO | Initialized scraper for IRC
2025-08-14 01:54:43 | INFO | Initialized scraper for Plan International
2025-08-14 01:54:43 | INFO | Initialized scraper for World Bank
2025-08-14 01:54:43 | INFO | Initialized scraper for IUCN
2025-08-14 01:54:43 | INFO | Initialized scraper for NRC
2025-08-14 01:54:43 | INFO | Initialized scraper for DRC
2025-08-14 01:54:43 | INFO | Initialized scraper for AfDB
2025-08-14 01:54:43 | INFO | Initialized scraper for GGGI
2025-08-14 01:54:43 | INFO | Initialized scraper for ACTED
2025-08-14 01:54:43 | INFO | Initialized scraper for ADB
2025-08-14 01:54:43 | INFO | Initialized scraper for BirdLife
2025-08-14 01:54:43 | INFO | Initialized scraper for Heifer
2025-08-14 01:54:43 | INFO | Initialized scraper for DNDi
2025-08-14 01:54:43 | INFO | Initialized scraper for IPU
2025-08-14 01:54:43 | INFO | Initialized scraper for IDC
2025-08-14 01:54:43 | INFO | Starting Proposaland scheduler - daily execution at 09:00
2025-08-14 01:54:43 | ERROR | Scheduler failed: 'Job' object has no attribute 'month'
2025-08-14 01:58:19 | INFO | Proposaland monitoring system started
2025-08-14 01:58:19 | INFO | Initializing scrapers for all target websites
2025-08-14 01:58:19 | INFO | Initialized scraper for Devex
2025-08-14 01:58:19 | INFO | Initialized scraper for UNDP Procurement
2025-08-14 01:58:19 | INFO | Initialized scraper for UN Global Marketplace
2025-08-14 01:58:19 | INFO | Initialized scraper for Global Fund
2025-08-14 01:58:19 | INFO | Initialized scraper for Development Aid
2025-08-14 01:58:19 | INFO | Initialized scraper for ReliefWeb
2025-08-14 01:58:19 | INFO | Initialized scraper for Save the Children
2025-08-14 01:58:19 | INFO | Initialized scraper for Mercy Corps
2025-08-14 01:58:19 | INFO | Initialized scraper for IRC
2025-08-14 01:58:19 | INFO | Initialized scraper for Plan International
2025-08-14 01:58:19 | INFO | Initialized scraper for World Bank
2025-08-14 01:58:19 | INFO | Initialized scraper for IUCN
2025-08-14 01:58:19 | INFO | Initialized scraper for NRC
2025-08-14 01:58:19 | INFO | Initialized scraper for DRC
2025-08-14 01:58:19 | INFO | Initialized scraper for AfDB
2025-08-14 01:58:19 | INFO | Initialized scraper for GGGI
2025-08-14 01:58:19 | INFO | Initialized scraper for ACTED
2025-08-14 01:58:19 | INFO | Initialized scraper for ADB
2025-08-14 01:58:19 | INFO | Initialized scraper for BirdLife
2025-08-14 01:58:19 | INFO | Initialized scraper for Heifer
2025-08-14 01:58:19 | INFO | Initialized scraper for DNDi
2025-08-14 01:58:19 | INFO | Initialized scraper for IPU
2025-08-14 01:58:19 | INFO | Initialized scraper for IDC
2025-08-14 01:58:19 | INFO | Starting Proposaland scheduler - daily execution at 09:00
2025-08-14 01:58:54 | INFO | Proposaland monitoring system started
2025-08-14 01:58:54 | INFO | Initializing scrapers for all target websites
2025-08-14 01:58:54 | INFO | Initialized scraper for Devex
2025-08-14 01:58:54 | INFO | Initialized scraper for UNDP Procurement
2025-08-14 01:58:54 | INFO | Initialized scraper for UN Global Marketplace
2025-08-14 01:58:54 | INFO | Initialized scraper for Global Fund
2025-08-14 01:58:54 | INFO | Initialized scraper for Development Aid
2025-08-14 01:58:54 | INFO | Initialized scraper for ReliefWeb
2025-08-14 01:58:54 | INFO | Initialized scraper for Save the Children
2025-08-14 01:58:54 | INFO | Initialized scraper for Mercy Corps
2025-08-14 01:58:54 | INFO | Initialized scraper for IRC
2025-08-14 01:58:54 | INFO | Initialized scraper for Plan International
2025-08-14 01:58:54 | INFO | Initialized scraper for World Bank
2025-08-14 01:58:54 | INFO | Initialized scraper for IUCN
2025-08-14 01:58:54 | INFO | Initialized scraper for NRC
2025-08-14 01:58:54 | INFO | Initialized scraper for DRC
2025-08-14 01:58:54 | INFO | Initialized scraper for AfDB
2025-08-14 01:58:54 | INFO | Initialized scraper for GGGI
2025-08-14 01:58:54 | INFO | Initialized scraper for ACTED
2025-08-14 01:58:54 | INFO | Initialized scraper for ADB
2025-08-14 01:58:54 | INFO | Initialized scraper for BirdLife
2025-08-14 01:58:54 | INFO | Initialized scraper for Heifer
2025-08-14 01:58:54 | INFO | Initialized scraper for DNDi
2025-08-14 01:58:54 | INFO | Initialized scraper for IPU
2025-08-14 01:58:54 | INFO | Initialized scraper for IDC
2025-08-14 01:58:54 | INFO | Starting opportunity monitoring process
2025-08-14 01:58:54 | INFO | Running scraper for Devex
2025-08-14 01:58:54 | INFO | Fetching https://www.devex.com/funding-overview (attempt 1)
2025-08-14 01:58:55 | WARNING | Request failed for https://www.devex.com/funding-overview: 406 Client Error: Not Acceptable for url: https://www.devex.com/funding-overview
2025-08-14 01:58:57 | INFO | Fetching https://www.devex.com/funding-overview (attempt 2)
2025-08-14 01:58:57 | WARNING | Request failed for https://www.devex.com/funding-overview: 406 Client Error: Not Acceptable for url: https://www.devex.com/funding-overview
